ConfName;Rank;Papers_1_Edition;Papers_2_Edition;Papers_3_Edition;Papers_4_Edition;Papers_5_Edition;Num_Papers;Authors_1_Edition;Authors_2_Edition;Authors_3_Edition;Authors_4_Edition;Authors_5_Edition;Num_Authors;Authors_per_paper_1_Edition;Authors_per_paper_2_Edition;Authors_per_paper_3_Edition;Authors_per_paper_4_Edition;Authors_per_paper_5_Edition;Authors_per_Paper;Papers_per_author_1_Edition;Papers_per_author_2_Edition;Papers_per_author_3_Edition;Papers_per_author_4_Edition;Papers_per_author_5_Edition;Papers_per_Author;Newcomers_rate_12_Edition;Newcomers_rate_23_Edition;Newcomers_rate_34_Edition;Newcomers_rate_45_Edition;Newcomers;Surviving_rate_12_Edition;Surviving_rate_23_Edition;Surviving_rate_34_Edition;Surviving_rate_45_Edition;Survivors;Newcomer_papers_rate_12_Edition;Newcomer_papers_rate_23_Edition;Newcomer_papers_rate_34_Edition;Newcomer_papers_rate_45_Edition;Newcomer_Papers;Community_papers_12_Edition;Community_papers_23_Edition;Community_papers_34_Edition;Community_papers_45_Edition;Community_Papers;AvgDegree_1_LastEdition;AvgDegree_2_LastEdition;AvgDegree_3_LastEdition;AvgDegree_4_LastEdition;AvgDegree_5_LastEdition;Avg_Degree;GraphDensity_1_LastEdition;GraphDensity_2_LastEdition;GraphDensity_3_LastEdition;GraphDensity_4_LastEdition;GraphDensity_5_LastEdition;Graph_Density;GraphModularity_1_LastEdition;GraphModularity_2_LastEdition;GraphModularity_3_LastEdition;GraphModularity_4_LastEdition;GraphModularity_5_LastEdition;Graph_Modularity;ConnectedComponents_1_LastEdition;ConnectedComponents_2_LastEdition;ConnectedComponents_3_LastEdition;ConnectedComponents_4_LastEdition;ConnectedComponents_5_LastEdition;Connected_Components;AveragePathLength_1_LastEdition;AveragePathLength_2_LastEdition;AveragePathLength_3_LastEdition;AveragePathLength_4_LastEdition;AveragePathLength_5_LastEdition;Avg_Path_Length;ProminentFigures_1_LastEdition;ProminentFigures_2_LastEdition;ProminentFigures_3_LastEdition;ProminentFigures_4_LastEdition;ProminentFigures_5_LastEdition;Prominent_Figures;Community_Size
0-ACM-Conference-on-Computer-and-Communications-Security;AA;114,000;105,000;81,000;61,000;54,000;83,000;457,000;373,000;312,000;204,000;188,000;306,800;4,360;3,933;4,235;3,459;3,685;3,934;1,087;1,107;1,099;1,034;1,059;1,077;68,271;71,582;82,051;81,863;75,942;18,381;17,694;11,538;18,137;16,438;29,825;31,429;54,321;59,016;43,648;7,018;6,667;2,469;6,557;5,678;4,451;3,786;4,840;2,804;3,532;4,889;0,010;0,010;0,016;0,014;0,019;0,004;87,000;80,000;61,000;55,000;45,000;136,000;87,000;80,000;61,000;55,000;45,000;124,000;1,460;1,302;1,303;1,145;1,245;8,530;0,000;0,000;0,000;0,000;0,000;2,269;1190,000
1-International-Symposium-on-High-Performance-Computer-Architecture;AA;58,000;55,000;39,000;43,000;36,000;46,200;214,000;224,000;166,000;160,000;150,000;182,800;4,138;4,436;4,436;4,000;4,333;4,269;1,122;1,089;1,042;1,075;1,040;1,074;68,224;78,571;78,313;86,250;77,840;17,757;8,482;12,651;13,750;13,160;27,586;40,000;46,154;69,767;45,877;12,069;1,818;0,000;4,651;4,635;4,785;5,232;4,663;3,863;4,307;5,438;0,022;0,023;0,028;0,024;0,029;0,007;43,000;43,000;34,000;35,000;32,000;95,000;42,000;42,000;34,000;34,000;32,000;87,000;1,752;1,463;1,175;1,293;1,096;4,670;0,000;0,000;0,000;0,000;0,000;1,351;740,000
18-International-Conference-on-Software-Engineering;AA;98,000;115,000;115,000;83,000;77,000;97,600;310,000;364,000;376,000;277,000;274,000;320,200;3,602;3,452;3,583;3,590;3,688;3,583;1,139;1,091;1,096;1,076;1,036;1,087;59,677;71,703;69,947;82,310;70,910;21,613;16,209;19,149;17,690;18,665;20,408;43,478;39,130;63,855;41,718;17,347;6,957;10,435;4,819;9,889;3,452;3,176;3,441;3,401;3,905;4,168;0,011;0,009;0,009;0,012;0,014;0,003;65,000;95,000;89,000;68,000;70,000;184,000;65,000;95,000;89,000;68,000;70,000;173,000;1,585;1,512;1,672;1,270;1,058;7,804;0,000;0,000;0,000;0,000;0,000;2,312;1211,000
22-Usenix-Symposium-on-Operating-Systems-Design-and-Implementation;AA;42,000;23,000;32,000;26,000;27,000;30,000;224,000;109,000;140,000;127,000;119,000;143,800;5,833;4,957;4,656;5,154;4,630;5,046;1,094;1,046;1,064;1,055;1,050;1,062;72,768;68,807;81,429;82,677;76,420;13,839;17,431;13,571;17,323;15,541;16,667;21,739;43,750;50,000;33,039;2,381;4,348;0,000;0,000;1,682;5,866;5,064;4,971;5,228;4,824;6,313;0,026;0,047;0,036;0,041;0,041;0,011;31,000;19,000;26,000;22,000;21,000;51,000;31,000;19,000;26,000;22,000;21,000;39,000;1,269;1,181;1,298;1,230;1,180;5,846;0,000;0,000;0,000;0,000;0,000;1,389;576,000
29-ACM-Conference-on-Applications-Technologies-Architectures-and-Protocols-for-Computer-Communication;AA;45,000;38,000;31,000;32,000;33,000;35,800;212,000;193,000;129,000;124,000;153,000;162,200;5,311;5,790;4,742;4,406;4,909;5,032;1,127;1,140;1,140;1,137;1,059;1,121;66,981;68,912;68,992;83,065;71,987;20,755;13,472;16,279;16,935;16,860;24,444;15,789;22,581;50,000;28,204;2,222;7,895;0,000;0,000;2,529;5,774;6,850;4,837;4,339;4,889;6,768;0,027;0,036;0,038;0,035;0,032;0,011;32,000;21,000;22,000;21,000;27,000;47,000;29,000;16,000;20,000;21,000;26,000;33,000;2,189;3,582;1,961;1,339;1,634;4,863;0,000;0,000;0,000;0,000;0,000;3,226;620,000
33-ACM-International-Symposium-on-Computer-Architecture;AA;45,000;56,000;47,000;40,000;44,000;46,400;202,000;260,000;181,000;160,000;178,000;196,200;4,756;4,839;4,106;4,425;4,318;4,489;1,059;1,042;1,066;1,106;1,067;1,068;75,248;67,692;70,166;78,125;72,808;9,901;15,000;14,917;21,875;15,423;42,222;25,000;38,298;55,000;40,130;6,667;12,500;4,255;5,000;7,105;6,634;5,300;4,166;4,513;4,921;6,237;0,033;0,020;0,023;0,028;0,028;0,008;38,000;46,000;38,000;31,000;36,000;84,000;37,000;46,000;38,000;31,000;36,000;72,000;1,249;1,197;1,327;1,269;1,316;6,912;0,000;0,000;0,000;0,000;0,000;1,187;758,000
42-ACM-Multimedia;AA;59,000;53,000;71,000;58,000;76,000;63,400;237,000;193,000;254,000;220,000;280,000;236,800;4,390;4,132;4,197;4,310;4,158;4,237;1,093;1,135;1,173;1,136;1,129;1,133;70,042;61,140;65,354;78,636;68,793;17,722;27,461;22,835;21,364;22,345;33,898;30,189;23,944;46,552;33,646;5,085;11,321;12,676;5,172;8,563;4,211;4,135;4,134;4,118;4,593;5,107;0,018;0,022;0,016;0,019;0,016;0,006;41,000;37,000;46,000;41,000;56,000;114,000;41,000;35,000;43,000;38,000;54,000;105,000;1,761;2,529;2,975;3,345;2,919;4,229;0,000;0,518;0,787;0,000;0,714;3,433;903,000
43-International-Conference-on-Functional-Programming;AA;28,000;40,000;31,000;37,000;33,000;33,800;83,000;95,000;85,000;87,000;85,000;87,000;3,000;2,550;2,774;2,622;2,697;2,729;1,012;1,074;1,012;1,115;1,047;1,052;62,651;58,947;74,118;91,954;71,917;15,663;18,947;9,412;8,046;13,017;32,143;42,500;61,290;78,378;53,578;17,857;20,000;22,581;5,405;16,461;2,699;2,463;2,635;2,368;2,471;3,006;0,033;0,026;0,031;0,028;0,029;0,009;27,000;33,000;30,000;29,000;30,000;86,000;27,000;33,000;30,000;29,000;30,000;83,000;1,097;1,234;1,067;1,263;1,110;2,741;0,000;0,000;0,000;0,000;0,000;0,893;336,000
51-ACM-Conference-on-Object-Oriented-Programming-Systems-Languages-and-Applications;AA;52,000;50,000;59,000;61,000;59,000;56,200;176,000;151,000;189,000;195,000;183,000;178,800;3,596;3,280;3,458;3,541;3,322;3,439;1,063;1,086;1,079;1,108;1,071;1,081;69,318;64,238;74,603;88,205;74,091;13,636;19,868;17,460;11,795;15,690;26,923;20,000;37,288;70,492;38,676;7,692;12,000;8,475;1,639;7,452;3,545;3,113;3,460;3,262;3,421;3,986;0,020;0,021;0,018;0,017;0,019;0,006;44,000;41,000;48,000;50,000;49,000;118,000;44,000;41,000;48,000;49,000;49,000;114,000;1,114;1,175;1,202;1,462;1,318;3,249;0,000;0,000;0,000;0,000;0,000;1,818;715,000
67-ACM-SIGACT-Symposium-on-Principles-of-Programming-Languages;AA;52,000;43,000;44,000;50,000;40,000;45,800;172,000;135,000;139,000;144,000;122,000;142,400;3,577;3,256;3,182;3,020;3,125;3,232;1,081;1,037;1,007;1,049;1,025;1,040;58,140;65,185;71,942;86,806;70,518;21,512;16,296;21,583;13,194;18,146;19,231;41,860;56,818;72,000;47,477;7,692;11,628;11,364;4,000;8,671;3,593;3,333;2,820;2,875;2,918;3,877;0,021;0,025;0,020;0,020;0,024;0,007;42,000;38,000;43,000;44,000;37,000;100,000;42,000;38,000;43,000;44,000;37,000;92,000;1,322;1,245;1,020;1,217;1,063;4,758;0,000;0,000;0,000;0,000;0,000;1,308;535,000
